building_id,pnu,building_name,legal_dong_name,lot_number,longitude,latitude,underground_parking_status,underground_parking_confirmed,underground_floor_count_gis,indoor_parking_slots_max,main_purpose_name,surface_elevation_m,relative_elevation_m,elevation_match_distance_m,terrain_risk,terrain_observed_flood_rate,terrain_lift_vs_average,distance_to_past_flood_m,inside_past_flood_area,static_risk,rain_trigger_level,rain_trigger_rule
1990300167513098774400000000,4725035028110880000,,경상북도 상주시 공성면 평천리,1088,128.1157404,36.2844499,GIS_ONLY_NO_REGISTER_ROW,0,1,,,,,1649.7,UNKNOWN,,,9017.6,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1990299947213099455200000000,4725035028110820000,,경상북도 상주시 공성면 평천리,1082,128.1132974,36.2850861,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공장,,,1422.3,UNKNOWN,,,8999.3,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
2021104382213437007300000000,4725042021101180000,,경상북도 상주시 화북면 용유리,118,127.9321426,36.5896597,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,,,1296.7,UNKNOWN,,,31829.3,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
2010300498883136830400000000,4725034025112360000,웅진폴리실리콘,경상북도 상주시 청리면 마공리,1236,128.1199177,36.3187044,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공장,,,150.9,UNKNOWN,,,5196.3,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
2010300567423138977800000000,4725034025112360000,웅진폴리실리콘,경상북도 상주시 청리면 마공리,1236,128.1207084,36.320632,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공장,,,142.1,UNKNOWN,,,4968.9,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1997313500383217858300000000,4725033026102200000,,경상북도 상주시 낙동면 분황리,220,128.2658477,36.3902647,UNDERGROUND_FLOOR_ONLY,0,1,0.0,동물및식물관련시설,,,1396.7,UNKNOWN,,,9644.6,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
2002313003383221683200000000,4725033026103050000,,경상북도 상주시 낙동면 분황리,305,128.260365,36.3937692,UNDERGROUND_FLOOR_ONLY,0,1,0.0,업무시설,,,1582.7,UNKNOWN,,,8979.5,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1999316380893221534100000000,4725033025101150002,,경상북도 상주시 낙동면 물량리,115-2,128.2980008,36.3932322,UNDERGROUND_FLOOR_ONLY,0,1,0.0,동물및식물관련시설,,,522.0,UNKNOWN,,,13000.5,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1996317187193188096600000000,4725033022102330001,,경상북도 상주시 낙동면 낙동리,233-1,128.3064827,36.3630095,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,,,474.9,UNKNOWN,,,14787.9,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
2012305487533436748600000000,4725025026100030006,,경상북도 상주시 함창읍 나한리,3-6,128.1795388,36.5883888,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,91.17,22.0,77.3,VERY_LOW,0.0,0.0,16928.0,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
