building_id,pnu,longitude,latitude,footprint_area_m2,sigungu_code,legal_dong_name,lot_number,building_name,gis_use_name,underground_floor_count_gis,ground_floor_count_gis,underground_parking_status,underground_parking_confirmed,register_underground_floor_max,register_ground_floor_max,indoor_parking_slots_max,total_floor_area_max_m2,building_area_max_m2,parcel_area_max_m2,building_height_max_m,household_count_max,main_purpose_name,structure_name,approval_year_min,register_rows_on_parcel,register_evidence
1978345195253696460400000000,4721010400106990040,128.6280258,36.817117,107.4,47210,경상북도 영주시 휴천동,699-40,,단독주택,1,1,UNDERGROUND_FLOOR_ONLY,0,1.0,1.0,0.0,77.97,73.11,0.0,0.0,0.0,단독주택,벽돌구조,1978,1,지하층은 있으나 옥내주차 근거 없음
1985344377213704126300000000,4721010100105160014,128.6190061,36.8241466,91.1,47210,경상북도 영주시 영주동,516-14,,제2종근린생활시설,1,1,UNDERGROUND_FLOOR_ONLY,0,1.0,1.0,0.0,96.22,93.33,199.6,0.0,0.0,제2종근린생활시설,벽돌구조,1985,1,지하층은 있으나 옥내주차 근거 없음
2014166277273688937900000000,4721010100104180005,128.6226475,36.8208729,611.3,47210,경상북도 영주시 영주동,418-5,,업무시설,1,3,CONFIRMED_BASEMENT_PARKING_USE,1,1.0,3.0,13.0,2179.48,574.21,1597.0,16.35,0.0,업무시설,철근콘크리트구조,2014,1,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함
1978344321713691430000000000,4721010500114680018,128.6181435,36.8127189,104.8,47210,경상북도 영주시 가흥동,1468-18,,단독주택,1,1,UNDERGROUND_FLOOR_ONLY,0,1.0,1.0,0.0,98.13,89.92,0.0,0.0,0.0,단독주택,벽돌구조,1978,1,지하층은 있으나 옥내주차 근거 없음
1981344486593706508800000000,4721010100105460015,128.6202768,36.8262759,132.5,47210,경상북도 영주시 영주동,546-15,,제1종근린생활시설,1,3,UNDERGROUND_FLOOR_ONLY,0,1.0,3.0,0.0,527.54,134.41,0.0,0.0,0.0,제1종근린생활시설,철근콘크리트구조,1981,1,지하층은 있으나 옥내주차 근거 없음
2011347491923655083800000000,4721031027106190002,128.6529554,36.7794936,34.3,47210,경상북도 영주시 이산면 운문리,619-2,,창고시설,1,0,UNDERGROUND_FLOOR_ONLY,0,1.0,0.0,0.0,35.0,35.0,180.0,5.4,0.0,창고시설,경량철골구조,2011,1,지하층은 있으나 옥내주차 근거 없음
1991344928193700749300000000,4721010100105840000,128.625115,36.8210205,132.5,47210,경상북도 영주시 영주동,584,,제2종근린생활시설,1,3,UNDERGROUND_FLOOR_ONLY,0,1.0,3.0,0.0,447.79,113.26,0.0,0.0,0.0,제2종근린생활시설,철근콘크리트구조,1991,1,지하층은 있으나 옥내주차 근거 없음
1994342432033663582200000000,4721034021102520002,128.596454,36.7879208,948.2,47210,경상북도 영주시 장수면 반구리,252-2,,공장,1,1,UNDERGROUND_FLOOR_ONLY,0,1.0,1.0,0.0,1390.77,1386.71,3287.5,5.9,0.0,공장,철근콘크리트구조,1994,1,지하층은 있으나 옥내주차 근거 없음
1985344216123706533400000000,4721010100104940037,128.6172468,36.8263394,75.3,47210,경상북도 영주시 영주동,494-37,,단독주택,1,1,UNDERGROUND_FLOOR_ONLY,0,1.0,1.0,0.0,70.59,68.79,0.0,0.0,0.0,단독주택,벽돌구조,1985,1,지하층은 있으나 옥내주차 근거 없음
1977344264323703812600000000,4721010100105140007,128.6177345,36.8238804,66.1,47210,경상북도 영주시 영주동,514-7,,단독주택,1,1,UNDERGROUND_FLOOR_ONLY,0,1.0,1.0,0.0,64.67,64.67,0.0,0.0,0.0,단독주택,벽돌구조,1977,2,지하층은 있으나 옥내주차 근거 없음
