building_id,pnu,building_name,legal_dong_name,lot_number,longitude,latitude,underground_parking_status,underground_parking_confirmed,underground_floor_count_gis,indoor_parking_slots_max,main_purpose_name,surface_elevation_m,relative_elevation_m,elevation_match_distance_m,terrain_risk,terrain_observed_flood_rate,terrain_lift_vs_average,distance_to_past_flood_m,inside_past_flood_area,static_risk,rain_trigger_level,rain_trigger_rule
2012369310632710851800000000,4723025022100300003,,경상북도 영천시 금호읍 덕성리,30-3,128.8767338,35.9253932,UNDERGROUND_FLOOR_ONLY,0,1,0.0,창고시설,58.8,4.68,31.4,HIGH,0.148,2.3,20820.2,0,HIGH,호우주의보,3시간 60mm 이상 또는 12시간 110mm 이상
1999375427482768731600000000,4723010300101160000,영동 시장형 상가,경상북도 영천시 야사동,116,128.9457505,35.9764492,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제1종근린생활시설,90.34,18.65,8.5,LOW,0.004,0.1,18100.6,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1995374526272754812600000000,4723011300110640004,,경상북도 영천시 완산동,1064-4,128.9354581,35.9640734,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,75.9,12.4,3.4,LOW,0.004,0.1,18247.1,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1955386056882778608100000000,4723038036102950001,,경상북도 영천시 고경면 차당리,295-1,129.0637626,35.9833775,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,,,1295.4,UNKNOWN,,,11803.6,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1982378311112725100900000000,4723039043100500000,,경상북도 영천시 북안면 유하리,50,128.9767252,35.936629,GIS_BASEMENT_CANDIDATE_NOT_CONFIRMED_BY_TITLE,0,1,0.0,창고시설,96.23,26.27,71.5,VERY_LOW,0.0,0.0,12748.3,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
2005325416232949084500000000,4719012600100010000,금오공과대학교,경상북도 구미시 양호동,1,128.3943113,36.1466284,UNDERGROUND_FLOOR_ONLY,0,1,0.0,교육연구시설,76.28,46.12,7.1,VERY_LOW,0.0,0.0,5018.0,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1998378837352731580100000000,4723039042102180005,,경상북도 영천시 북안면 송포리,218-5,128.9826993,35.9423688,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,83.54,11.11,4.0,LOW,0.004,0.1,12549.6,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1998375792962763416400000000,4723010200101160000,주민복지관2,경상북도 영천시 망정동,116,128.9496828,35.9715961,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공동주택,83.21,11.52,3.5,LOW,0.004,0.1,17426.0,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
2013194521772746819800000000,4723010500100400017,,경상북도 영천시 문외동,40-17,128.939889,35.9724539,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제2종근린생활시설,93.35,21.65,24.3,VERY_LOW,0.0,0.0,18357.4,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1993374564742765397400000000,4723010500100050012,,경상북도 영천시 문외동,5-12,128.9361171,35.9736006,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,103.29,31.59,3.9,VERY_LOW,0.0,0.0,18772.6,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1996195749702745882800000000,4723010100107510001,,경상북도 영천시 조교동,751-1,128.9535035,35.9716155,UNDERGROUND_FLOOR_ONLY,0,1,0.0,판매시설,79.09,7.86,7.8,MODERATE,0.052,0.8,17092.1,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1995374728552762941800000000,4723010500100380013,,경상북도 영천시 문외동,38-13,128.9378781,35.9713595,PROBABLE_NOT_CONFIRMED_IN_FLOOR_ROWS,0,1,5.0,숙박시설,89.26,17.56,4.5,LOW,0.004,0.1,18469.9,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
2013176536162849603200000000,4723032022106370000,,경상북도 영천시 신녕면 부산리,637,128.7401777,36.0648158,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,,,2275.8,UNKNOWN,,,25113.2,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
2018178822562798173900000000,4723031034105700000,,경상북도 영천시 청통면 신원리,570,128.7656948,36.0185198,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,,,1308.4,UNKNOWN,,,27416.8,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1992374430272753375600000000,4723011300110560003,,경상북도 영천시 완산동,1056-3,128.934363,35.9627964,UNDERGROUND_FLOOR_ONLY,0,1,0.0,판매시설,79.6,16.1,22.6,LOW,0.004,0.1,18275.2,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
