approval_year,building_use_name,existed_at_flood,first_flood_year,gis_building_id,last_flood_year,latitude,legal_dong_code,longitude,pnu,register_rows_on_parcel,underground_floor_count,underground_parking_confirmed,underground_parking_evidence,underground_parking_status
1987,단독주택,YES,2022,1987199790204476126800000000,2022,37.5307556,1117013600,126.9984148,1117013600102650268,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1990,제1종근린생활시설,YES,2022,1990194575754446908400000000,2022,37.504379,1159010200,126.9394291,1159010200103680050,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
2011,업무시설,YES,2022,2011193339064427906200000000,2022,37.4872874,1162010200,126.9254738,1162010200114580033,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1993,단독주택,YES,2022,1993194134234442756100000000,2022,37.5006699,1159010200,126.9344515,1159010200102430016,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1980,제2종근린생활시설,YES,2022,1980190855924415502900000000,2022,37.4760938,1154510200,126.8974088,1154510200101440010,2,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1988,제1종근린생활시설,YES,2022,1988200036634470552300000000,2022,37.5257387,1117013600,127.0012008,1117013600100930001,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1974,제1종근린생활시설,YES,2022,1974200358054478876400000000,2022,37.5332403,1117013100,127.0048393,1117013100106380011,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1976,제1종근린생활시설,YES,2022,1976200428554477854700000000,2022,37.5322903,1117013100,127.0056401,1117013100106310003,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1989,단독주택,YES,2022,1989192540124427929200000000,2022,37.4872897,1162010200,126.9164381,1162010200104990004,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
2013,제2종근린생활시설,YES,2022,2013200424534479704200000000,2022,37.5339818,1117013100,127.0055914,1117013100106570189,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1992,단독주택,YES,2022,1992199321974465962500000000,2022,37.5216123,1117013300,126.9931222,1117013300102240001,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1989,단독주택,YES,2022,1989199612104468234300000000,2022,37.5236399,1117013200,126.9964049,1117013200100440013,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1990,단독주택,YES,2022,1990199808234467248800000000,2022,37.5227682,1117013400,126.9986204,1117013400100430034,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1989,제2종근린생활시설,YES,2022,1989211756524436215500000000,2022,37.4947245,1171010700,127.1337322,1171010700101900000,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
2008,제2종근린생활시설,YES,2022,2008197301354475019700000000,2022,37.5297554,1117012500,126.9702578,1117012500101520002,1,1,N,,PROBABLE_NOT_CONFIRMED_IN_FLOOR_ROWS
1988,단독주택,YES,2022,1988211951254438245500000000,2022,37.4965518,1171010700,127.1359373,1171010700101740018,1,1,N,,PROBABLE_NOT_CONFIRMED_IN_FLOOR_ROWS
1986,단독주택,YES,2022,1986191307214393017700000000,2022,37.4558261,1154510300,126.9025352,1154510300108800029,2,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1991,단독주택,YES,2022,1991192520554428126000000000,2022,37.4874832,1162010200,126.9162144,1162010200104990008,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
2001,공동주택,YES,2022,2001192547414424810800000000,2022,37.4844919,1162010200,126.9165255,1162010200105120016,1,1,Y,지하 지1층 / 부대시설,CONFIRMED_BASEMENT_PARKING_USE
1997,단독주택,YES,2022,1997192992084430356300000000,2022,37.4894923,1162010200,126.9215482,1162010200114460011,1,1,Y,지하 지1층 / 다가구주택,CONFIRMED_BASEMENT_PARKING_USE
2015,공장,YES,2022,2015190943064476214400000000,2022,37.5308233,1156011400,126.8983426,1156011400100800000,1,4,Y,지하 지1층 / 기타공장,CONFIRMED_BASEMENT_PARKING_USE
1983,단독주택,YES,2022,1983191708254417171600000000,2022,37.4776136,1154510200,126.9070398,1154510200108830020,2,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1977,제2종근린생활시설,YES,2022,1977204291844449125600000000,2022,37.50642,1168010500,127.0493286,1168010500101400016,1,1,Y,지하 지하1층 / 기타제2종근린생활시설,CONFIRMED_BASEMENT_PARKING_USE
1991,제2종근린생활시설,YES,2022,1991201906234444750900000000,2022,37.502487,1165010800,127.0223464,1165010800113020007,1,1,N,,PROBABLE_NOT_CONFIRMED_IN_FLOOR_ROWS
1993,제2종근린생활시설,YES,2022,1993193541364423970800000000,2022,37.4837505,1162010200,126.9277611,1162010200116390017,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1990,제2종근린생활시설,YES,2022,1990193645484431921600000000,2022,37.49091,1162010100,126.9289336,1162010100107110004,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1977,제1종근린생활시설,YES,2022,1977193014364527999500000000,2022,37.5774613,1141012000,126.9217295,1141012000103500006,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1991,제2종근린생활시설,YES,2022,1991187435394444012200000000,2022,37.5017363,1153010600,126.8586934,1153010600101340031,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1985,제1종근린생활시설,YES,2022,1985191019064432099200000000,2022,37.4910464,1156013300,126.8992364,1156013300110720034,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1991,단독주택,YES,2022,1991190916544472011600000000,2022,37.527005,1156011300,126.8980277,1156011300101350000,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1995,제1종근린생활시설,YES,2022,1995191129064480130100000000,2022,37.5343221,1156011500,126.900422,1156011500100320002,1,2,Y,지하 지2층 / 기타제1종근린생활시설,CONFIRMED_BASEMENT_PARKING_USE
1992,업무시설,YES,2022,1992203016274435699800000000,2022,37.4943396,1168010100,127.0348916,1168010100108340046,1,2,Y,지하 지하1층 / 기타일반업무시설,CONFIRMED_BASEMENT_PARKING_USE
1994,공동주택,YES,2022,1994213933874433215600000000,2022,37.4920048,1171011400,127.1583499,1171011400105660000,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1984,제2종근린생활시설,YES,2022,1984193795074441594000000000,2022,37.4996233,1159010200,126.9306183,1159010200103240002,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
2005,판매시설,YES,2022,2005206778434552177200000000,2022,37.5992586,1126010300,127.0775517,1126010300103140001,1,3,Y,지하 지하2층 / 아파트,CONFIRMED_BASEMENT_PARKING_USE
1975,제1종근린생활시설,YES,2022,1975193226374440441100000000,2022,37.4985826,1159010800,126.9241935,1159010800104070024,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
2003,단독주택,YES,2022,2003201751894447190300000000,2022,37.5046864,1165010700,127.0206005,1165010700107320026,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1975,제1종근린생활시설,YES,2022,1975196901104413935700000000,2022,37.4747143,1162010100,126.9657431,1162010100116380001,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
2004,판매시설,YES,2022,2004193749594425119400000000,2022,37.4848144,1162010200,126.9301031,1162010200114220005,1,7,Y,지하 지3층 / 기타소매시장,CONFIRMED_BASEMENT_PARKING_USE
2004,업무시설,YES,2022,2004193738674425540300000000,2022,37.4851585,1162010200,126.9299942,1162010200114210029,1,5,Y,지하 지3층 / 오피스텔,CONFIRMED_BASEMENT_PARKING_USE
