event_id,fldn_bgng_ymd,fldn_bgng_tm,station_id,rain_1h,rain_6h,rain_24h,hours_available_of_24
GB-20020831-1600,20020831,1600,531,2.5,10.5,16.0,24
GB-20020831-1600,20020831,1600,532,1.5,5.5,8.0,24
GB-20020831-1600,20020831,1600,533,1.0,3.0,10.0,24
GB-20020831-1600,20020831,1600,534,5.5,10.0,20.0,24
GB-20020831-1600,20020831,1600,535,2.5,5.5,18.5,24
GB-20020831-1600,20020831,1600,536,1.5,3.0,9.5,24
GB-20020831-1600,20020831,1600,537,14.0,14.0,118.5,19
GB-20020831-1600,20020831,1600,538,2.0,4.0,4.0,24
GB-20020831-1600,20020831,1600,539,1.0,2.0,3.0,24
GB-20020831-1600,20020831,1600,540,0.0,0.0,0.0,24
GB-20020831-1600,20020831,1600,541,1.0,3.5,10.5,24
GB-20020831-1600,20020831,1600,542,1.5,6.0,12.0,24
GB-20020831-1600,20020831,1600,543,1.0,3.5,5.0,24
GB-20020831-1600,20020831,1600,544,1.5,4.5,10.5,24
GB-20020831-1600,20020831,1600,545,2.5,6.0,13.0,24
GB-20020831-1600,20020831,1600,546,2.0,4.5,14.0,24
GB-20020831-1600,20020831,1600,547,2.0,4.0,12.0,24
GB-20020831-1600,20020831,1600,548,2.0,3.0,13.0,24
GB-20020831-1600,20020831,1600,549,3.0,7.0,15.0,24
GB-20020831-1600,20020831,1600,550,2.0,11.0,12.0,24
GB-20020831-1600,20020831,1600,551,2.5,6.0,16.0,24
GB-20020831-1600,20020831,1600,552,1.5,4.5,4.5,24
GB-20020831-1600,20020831,1600,553,2.5,28.5,59.5,24
GB-20020831-1600,20020831,1600,554,4.5,39.0,105.0,24
GB-20020831-1600,20020831,1600,555,1.0,6.5,9.5,24
GB-20020831-1600,20020831,1600,556,1.0,6.0,19.5,24
GB-20020831-1600,20020831,1600,557,1.0,5.5,33.5,24
GB-20020831-1600,20020831,1600,558,2.0,6.5,13.0,24
GB-20020831-1600,20020831,1600,559,4.5,12.5,46.5,24
GB-20020831-1600,20020831,1600,560,8.0,8.0,62.0,19
GB-20020831-1600,20020831,1600,561,3.5,5.5,13.5,24
GB-20020831-1600,20020831,1600,562,5.0,11.0,18.0,24
GB-20020831-1600,20020831,1600,563,0.0,0.0,0.0,24
GB-20020831-1600,20020831,1600,564,24.0,86.5,140.0,24
GB-20020831-1600,20020831,1600,565,2.0,5.0,8.5,24
GB-20020831-1600,20020831,1600,566,29.0,151.0,324.5,24
GB-20020831-1600,20020831,1600,567,1.5,5.0,5.5,24
GB-20020831-1600,20020831,1600,568,1.0,1.0,2.5,24
GB-20020831-1600,20020831,1600,569,1.0,3.0,12.5,24
GB-20020831-1600,20020831,1600,570,1.5,7.0,8.5,24
GB-20020831-1600,20020831,1600,571,3.5,7.5,16.0,24
GB-20020831-1600,20020831,1600,572,1.5,3.0,10.5,24
