underground_parking_status,underground_parking_evidence,floor_detail_rows_collected,indoor_parking_count,pnu,mgmBldrgstPk,platPlc,newPlatPlc,sigunguCd,bjdongCd,platGbCd,bun,ji,bldNm,dongNm,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,etcPurps,ugrndFlrCnt,grndFlrCnt,indrMechUtcnt,indrMechArea,indrAutoUtcnt,indrAutoArea,oudrMechUtcnt,oudrMechArea,oudrAutoUtcnt,oudrAutoArea,useAprDay,crtnDay,archArea,atchBldArea,atchBldCnt,bcRat,block,bylotCnt,emgenUseElvtCnt,engrEpi,engrGrade,engrRat,etcRoof,etcStrct,fmlyCnt,gnBldCert,gnBldGrade,heit,hhldCnt,hoCnt,itgBldCert,itgBldGrade,lot,naBjdongCd,naMainBun,naRoadCd,naSubBun,naUgrndCd,platArea,pmsDay,pmsnoGbCd,pmsnoGbCdNm,pmsnoKikCd,pmsnoKikCdNm,pmsnoYear,rideUseElvtCnt,rnum,roofCd,roofCdNm,rserthqkAblty,rserthqkDsgnApplyYn,splotNm,stcnsDay,strctCd,strctCdNm,totArea,totDongTotArea,vlRat,vlRatEstmTotArea
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,4.0,4713014400111740000,1000000000000001581187,경상북도 경주시 석장동 1174번지,경상북도 경주시 흥무로 155 (석장동),47130,14400,0,1174,0000,,주건축물제1동,1,일반,2,일반건축물,0,주건축물,04000,제2종근린생활시설,휴게음식점,1,2,0,0,4,50,0,0,53,666.5,20230407,20230407,719.34,54,1,10.72,,0,0,0,,0,(철근)콘크리트,철근콘크리트구조,0,0,,6.9,0,0,0,,,14402,155,471303305068,0,0,6709,20220620,1101,신축허가,5050367,건축허가과,2022,0,491,10,(철근)콘크리트,"내진등급 (MMI VII등급), 최대지반가속도 : 0.199g",1,,20220630,21,철근콘크리트구조,1052.87,1052.87,15.28,1025.29
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,4.0,4713025021100470006,1000000000000005150646,경상북도 경주시 감포읍 대본리 47-6번지,경상북도 경주시 대본해안길 3-13 (감포읍 대본리),47130,25021,0,0047,0006,,,1,일반,2,일반건축물,0,주건축물,04000,제2종근린생활시설,제2종근린생활시설,1,4,0,0,4,50,0,0,1,12.5,20250211,20250211,232.04,0,0,32.27,,2,0,0,,0,평스라브,철근콘크리트구조,0,0,,19.6,0,0,0,,,25001,3,471304715274,13,0,719,20220805,1101,신축허가,5050367,건축허가과,2022,1,13,10,(철근)콘크리트,VII-0.239g,1,,20230504,21,철근콘크리트구조,978.43,978.43,97.56,701.46
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,11.0,4713025021103800001,1000000000000006488820,경상북도 경주시 감포읍 대본리 380-1번지,경상북도 경주시 동해안로 1596 (감포읍 대본리),47130,25021,0,0380,0001,,,1,일반,2,일반건축물,0,주건축물,15000,숙박시설,숙박시설,2,4,0,0,11,0,0,0,8,0,20250916,20250916,766.73,0,0,24.06,,4,0,0,,0,(철근)콘크리트,철근콘크리트구조,0,0,,20.5,0,0,0,,,25001,1596,471303000101,0,0,3187,20220628,1101,신축허가,5050367,건축허가과,2022,2,172,10,(철근)콘크리트,내진 I 등급,1,,20230119,21,철근콘크리트구조,4583.36,4583.36,85.82,2735.15
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,4.0,4713025021105290001,1229128666,경상북도 경주시 감포읍 대본리 529-1번지,경상북도 경주시 동해안로 1514 (감포읍 대본리),47130,25021,0,0529,0001,,,1,일반,2,일반건축물,0,주건축물,04000,제2종근린생활시설,"제2종근린생활시설, 주택",1,3,0,0,4,199.7,0,0,0,0,20020423,20221126,182.2,0,0,44.22,,0,0,0,,0,경사스라브,철근콘크리트조,1,0,,10.2,0,0,0,,,25001,1514,471303000101,0,0,412,20010918,,,,,,0,262,10,(철근)콘크리트,,0,,20010920,21,철근콘크리트구조,641.3,641.3,107.18,441.6
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,7.0,4713025022101130000,12291100303470,경상북도 경주시 감포읍 전동리 113번지,경상북도 경주시 감포로4길 45 (감포읍 전동리),47130,25022,0,0113,0000,동부이끌림,동부이끌림,2,집합,3,표제부,0,주건축물,14000,업무시설,오피스텔,1,10,0,0,7,85.5,0,0,25,275.6,20170830,20221126,469.9325,0,0,31.75,,2,0,0,,0,(철근)콘크리트,철근콘크리트구조,0,0,,30.65,0,29,0,,,25001,45,471304715029,0,0,1480,20130614,1101,신축허가,5050223,건축과,2013,2,1,10,(철근)콘크리트,,1,,20150613,21,철근콘크리트구조,3753.9035,3753.9035,238.33,3527.301
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,2.0,4713025024102620000,12291100410794,경상북도 경주시 감포읍 나정리 262번지,경상북도 경주시 나정길 25-6 (감포읍 나정리),47130,25024,0,0262,0000,,주건축물제1동,1,일반,2,일반건축물,0,주건축물,01000,단독주택,단독주택,1,2,0,0,2,25,0,0,0,0,20221026,20221126,154.03,0,0,31.76,,0,0,0,,0,(철근)콘크리트,철근콘크리트구조,1,0,,10.86,0,0,0,,,25001,25,471304715213,6,0,485,20211231,1101,신축허가,5050367,건축허가과,2021,0,112,10,(철근)콘크리트,2/3xsxlxFa 2/3x0.22gx1.0x1.42=0.190g VII,1,,20220114,21,철근콘크리트구조,331.07,331.07,41.93,203.34
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,2.0,4713025024102620003,12291100410793,경상북도 경주시 감포읍 나정리 262-3번지,경상북도 경주시 나정길 25-8 (감포읍 나정리),47130,25024,0,0262,0003,,주건축물제1동,1,일반,2,일반건축물,0,주건축물,01000,단독주택,단독주택,1,2,0,0,2,25,0,0,0,0,20221026,20221126,154.03,0,0,31.12,,0,0,0,,0,(철근)콘크리트,철근콘크리트구조,1,0,,10.41,0,0,0,,,25001,25,471304715213,8,0,495,20211231,1101,신축허가,5050367,건축허가과,2021,0,113,10,(철근)콘크리트,2/3xsxlxFa 2/3x0.22gx1.0x1.42=0.190g VII,1,,20220114,21,철근콘크리트구조,331.07,331.07,41.08,203.34
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,39.0,4713025025102810001,12291100349033,경상북도 경주시 감포읍 오류리 281-1번지,경상북도 경주시 감포로 373 (감포읍 오류리),47130,25025,0,0281,0001,감포비치레지던스,,2,집합,3,표제부,0,주건축물,14000,업무시설,"업무시설, 제2종근린생활시설",2,8,0,0,39,1315.763,0,0,22,310.5,20190814,20221126,817.85,0,0,41.79,,2,0,0,,0,(철근)콘크리트,철근콘크리트구조,0,0,,33.1,0,93,0,,,25001,373,471303305002,0,0,1957,19961121,1101,신축허가,5050105,건축과,1996,0,199,10,(철근)콘크리트,,0,,19970723,21,철근콘크리트구조,8584.51,8584.51,297.66,5825.2
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,1.0,4713025025103160004,12291100256685,경상북도 경주시 감포읍 오류리 316-4번지,경상북도 경주시 감포로 329-11 (감포읍 오류리),47130,25025,0,0316,0004,,주건축물제1동,1,일반,2,일반건축물,0,주건축물,01000,단독주택,단독주택,1,2,0,0,1,11.5,0,0,0,0,20150609,20240523,110.45,0,0,47.61,,0,0,0,,0,슬라브,철근콘크리트구조 외 1,1,0,,6.31,0,0,0,,,25001,329,471303305002,11,0,232,20150120,1201,신축신고,5050056,감포읍,2015,0,292,10,(철근)콘크리트,,,,20150120,21,철근콘크리트구조,133.71,133.71,51.17,118.71
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,6.0,4713025029104360011,1229130944,경상북도 경주시 감포읍 감포리 436-11번지,경상북도 경주시 감포로7길 7 (감포읍 감포리),47130,25029,0,0436,0011,,,1,일반,2,일반건축물,0,주건축물,01000,단독주택,근린생활시설,1,4,0,0,6,61.5,0,0,0,0,19940411,20251010,373.27,0,0,75.87,,2,0,0,,0,"스라브, 샌드위치판넬","철근콘크리트, 경량철골조",1,0,,15.7,0,0,0,,,25001,7,471304715032,0,0,492,19930806,,,,,,0,716,10,(철근)콘크리트,,0,,19930816,21,철근콘크리트구조,1554.94,1554.94,243.2,1196.55
