objectid,SHAPE__Area,SHAPE__Length,fldn_area,fldn_bgng_tm,fldn_bgng_ymd,fldn_cs_dtl_nm,fldn_dowa,fldn_dst_nm,fldn_end_tm,fldn_end_ymd,fldn_grade,fldn_yr,sn,stdg_ctpv_cd,stdg_sgg_cd
8927,16947.84276075,603.723754592803,115849,1400,20120917,제방붕괴,2.356,16호태풍산바로인한침수,1500,20120918,5,2012,1039,47,47150
8928,6385.935808815,324.8090265142571,115849,1400,20120917,제방붕괴,1.646,16호태풍산바로인한침수,1500,20120918,4,2012,1032,47,47150
8929,53677.372187035,1433.847418460066,115849,1400,20120917,제방붕괴로인한저지대침수,1.941,16호태풍산바로인한침수,1500,20120918,4,2012,1023,47,47150
8930,63532.457206925,1454.9498078905299,29593,0500,20120917,배수관협소로인한 침수,0.615,제16호태풍(산바),0800,20120918,2,2012,730,47,47130
8931,14537.426925315,687.7963335008977,72887,0800,20120917,저지대 집중호우로 침,1.21,제16호태풍(산바),0500,20120918,3,2012,725,47,47130
8932,17274.788490985,645.1544301622139,29593,0500,20120917,배수구 혐소로인한 침수,1.109,제16호태풍(산바),0800,20120918,3,2012,728,47,47130
8933,264294.3729557,4348.956580242168,72887,0800,20120917,저지대 집중호우로 침수,0.712,제16호태풍(산바),0500,20120918,2,2012,731,47,47130
8934,4344.84522878,329.28910628972653,29593,0500,20120917,배수구 혐소로인한 침수,0.696,제16호태풍(산바),0800,20120918,2,2012,729,47,47130
8935,73874.086370955,1259.0905768314133,72887,0800,20120917,저지대 집중호우인한 침수,0.906,제16호태풍산바,0500,20120918,2,2012,727,47,47130
8936,167808.200129335,2391.9832023301183,147445,0800,20120917,저지대로인한 침수,0.643,제16호태풍(산바),0500,20120918,2,2012,836,47,47130
8937,95757.52695569,1232.7593092219145,252894,0800,20120917,형산강물 역류로인한 침수,1.86,제16호태풍(산바),0500,20120918,4,2012,884,47,47130
8938,75934.27389218,1807.10922769062,82825,0500,20120917,저지대로인한 침수,1.963,제16호태풍(산바),0800,20120918,4,2012,880,47,47130
8939,37868.768805195,995.4680981541783,147445,0800,20120917,저지대로인한 침수,1.008,제16호태풍(산바),0500,20120918,3,2012,839,47,47130
8940,54126.812950025,1235.0941677934861,252894,0800,20120917,형산강물 역류로인한 침수,0.816,제16호태풍(산바),0500,20120918,2,2012,881,47,47130
8941,55607.55519934,973.8913948836309,147445,0800,20120917,저지대로인한 침수,0.738,제16호태풍(산바),0500,20120918,2,2012,850,47,47130
8942,4926.165724865,316.64921293839745,252894,0800,20120917,형산강물 역류로인한 침수,1.124,제16호태풍(산바),0500,20120918,3,2012,854,47,47130
8943,289694.08880361,2446.494253245893,615127,0800,20120917,저지대로인한 강물 역류,0.84,제16호태풍(산바),0500,20120918,2,2012,843,47,47130
8944,130578.14171174,2047.1173280239743,110116,0800,20120917,형산강물 역류로인한 침수,0.811,제16호태풍(산바),0500,20120918,2,2012,852,47,47130
8945,41394.520607,883.1536934884036,252894,0800,20120917,형산강물 역류로인한 침수,1.351,제16호태풍(산바),0500,20120918,3,2012,855,47,47130
8946,35364.555271805,1031.6734580551895,143142,1400,20120917,하천범람으로인한저지대침수,1.494,16호태풍 산바로 인한침수,1500,20120918,3,2012,935,47,47150
9062,56078.1309672,1006.4670793603875,252894,0800,20120917,형산강물 역류로인한 침수,1.53,제16호태풍(산바),0500,20120918,4,2012,842,47,47130
9063,304576.957033485,3683.2699187857575,143142,1400,20120917,제방붕괴로인한침수,2.713,16호태풍 산바로 인한침수,1500,20120918,5,2012,972,47,47150
9064,27631.07395893,828.8188138680913,143142,1400,20120917,제방붕괴로인한침수,1.537,16호태풍 산바로 인한침수,1500,20120918,4,2012,963,47,47150
9065,3086.42528736,261.05898900570446,143142,1400,20120917,제방붕괴로인한침수,2.173,16호태풍 산바로 인한침수,1500,20120918,5,2012,965,47,47150
9066,3999.213292425,286.2540520115827,143142,1400,20120917,제방붕괴로인한침수,2.437,16호태풍 산바로 인한침수,1500,20120918,5,2012,956,47,47150
9067,55869.83015915,2094.7914249710975,143142,1400,20120917,제방붕괴로인한침수,1.248,16호태풍 산바로 인한침수,1500,20120918,3,2012,968,47,47150
